date,sleep_hours,step_count,resting_heart_rate,hrv_sdnn,heart_rate_avg,active_energy_burned,exercise_time_minutes,distance_walking_running,distance_cycling,walking_speed,vo2_max,dietary_energy_consumed,dietary_sugar,dietary_water,body_mass,height
2025-08-11 20:22:04.587350,7.53,9996.0,68.0,59.0,82,441.0,8.0,7.15,0.0,3.86,36.1,2331,31,2.17,75.1,175.1
2025-08-12 20:22:04.587350,7.15,6078.0,60.0,64.0,79,186.0,20.0,3.4,0.0,4.94,34.0,2356,39,3.0,74.8,175.0
2025-08-13 20:22:04.587350,7.44,6829.0,67.0,54.0,77,299.0,7.0,4.11,0.0,4.83,37.1,2191,39,2.41,75.6,175.2
2025-08-14 20:22:04.587350,8.42,11249.0,61.0,66.0,78,522.0,26.0,8.25,7.44,4.45,37.5,1657,63,2.12,75.0,175.0
2025-08-15 20:22:04.587350,6.65,7201.0,62.0,55.0,74,164.0,0.0,5.13,0.0,5.42,35.9,2490,45,2.77,74.8,175.0
2025-08-16 20:22:04.587350,6.33,9076.0,66.0,44.0,77,323.0,3.0,6.26,0.0,3.96,39.0,1656,68,2.05,75.0,175.1
2025-08-17 20:22:04.587350,8.67,11315.0,62.0,64.0,76,481.0,39.0,7.93,10.25,3.74,34.8,2090,39,2.51,74.5,174.9
2025-08-18 20:22:04.587350,7.85,9005.0,61.0,56.0,70,350.0,20.0,6.48,0.0,4.15,34.5,1773,54,2.5,74.6,174.8
2025-08-19 20:22:04.587350,6.53,5602.0,66.0,47.0,78,242.0,0.0,3.65,0.0,4.48,37.0,1980,37,3.04,75.3,174.8
2025-08-20 20:22:04.587350,7.47,5784.0,62.0,46.0,71,201.0,0.0,3.66,0.0,4.62,38.3,2098,82,2.74,74.7,175.1
2025-08-21 20:22:04.587350,6.11,6411.0,66.0,46.0,90,260.0,3.0,4.59,7.21,4.38,39.2,2096,32,2.49,74.6,174.9
2025-08-22 20:22:04.587350,6.41,9014.0,67.0,51.0,82,352.0,36.0,5.82,0.0,4.68,36.1,2126,54,2.91,75.0,175.3
2025-08-23 20:22:04.587350,7.14,8791.0,69.0,66.0,80,410.0,16.0,6.36,12.37,3.87,38.4,2484,59,3.2,75.2,174.9
2025-08-24 20:22:04.587350,4.85,2638.0,65.0,44.0,81,118.0,0.0,1.0,0.0,5.22,36.7,2136,56,2.78,75.1,175.0
2025-08-25 20:22:04.587350,5.23,5758.0,74.0,57.0,88,247.0,1.0,4.55,10.17,4.46,36.6,1926,47,2.51,75.1,175.2
2025-08-26 20:22:04.587350,6.56,7927.0,60.0,37.0,73,296.0,11.0,5.79,8.49,5.06,38.2,2289,48,1.84,74.6,175.2
2025-08-27 20:22:04.587350,6.55,4713.0,66.0,50.0,84,164.0,0.0,3.43,4.01,4.67,37.8,2356,50,1.97,74.4,175.2
2025-08-28 20:22:04.587350,7.37,8778.0,66.0,54.0,84,329.0,18.0,6.64,0.0,4.73,34.5,1631,47,2.35,75.3,175.1
2025-08-29 20:22:04.587350,6.17,6754.0,67.0,64.0,79,289.0,6.0,5.56,11.96,4.78,39.1,2179,64,2.2,74.7,175.1
2025-08-30 20:22:04.587350,5.57,3595.0,65.0,30.0,77,122.0,0.0,3.02,0.0,4.72,39.0,2210,83,2.41,74.7,175.1
2025-08-31 20:22:04.587350,7.89,10914.0,61.0,53.0,74,451.0,48.0,6.72,0.0,4.82,36.0,1910,41,2.53,75.2,175.1
2025-09-01 20:22:04.587350,6.77,8782.0,63.0,42.0,66,455.0,30.0,5.51,0.0,5.16,37.6,2412,29,2.76,74.9,174.9
2025-09-02 20:22:04.587350,7.09,10267.0,63.0,29.0,70,454.0,23.0,6.87,10.63,4.6,37.7,1954,48,2.46,74.9,174.9
2025-09-03 20:22:04.587350,6.31,7970.0,70.0,33.0,91,302.0,3.0,5.59,12.56,4.85,37.4,2037,88,2.74,75.4,175.0
2025-09-04 20:22:04.587350,6.4,4428.0,67.0,38.0,90,237.0,22.0,3.36,10.46,4.46,36.2,1948,37,2.53,74.5,175.0
2025-09-05 20:22:04.587350,7.2,6290.0,62.0,52.0,75,231.0,7.0,4.04,0.0,5.22,36.1,2004,74,1.51,75.0,175.0
2025-09-06 20:22:04.587350,5.84,7303.0,70.0,44.0,87,190.0,11.0,5.21,0.0,4.16,37.0,1671,75,2.03,74.7,175.1
2025-09-07 20:22:04.587350,7.03,9591.0,65.0,71.0,81,333.0,22.0,6.34,11.29,5.4,38.9,1567,41,2.43,74.8,175.1
2025-09-08 20:22:04.587350,6.74,8129.0,68.0,54.0,98,231.0,17.0,5.38,0.0,4.48,37.9,2478,58,1.9,75.1,175.0
2025-09-09 20:22:04.587350,6.93,15267.0,67.0,41.0,87,593.0,49.0,9.98,0.0,3.78,36.6,1745,74,2.8,74.8,175.1
2025-09-10 20:22:04.587350,4.64,4943.4,72.45,27.0,77,330.0,10.0,5.31,0.0,4.56,38.3,1702,44,3.27,74.8,174.9
2025-09-11 20:22:04.587350,6.01,7829.4,67.85,51.75,69,605.0,34.0,8.46,0.0,4.16,32.9,1353,46,3.11,75.0,175.0
2025-09-12 20:22:04.587350,5.19,5932.2,77.05,27.0,73,411.0,24.0,6.43,0.0,4.92,38.9,1808,41,2.39,74.5,174.9
2025-09-13 20:22:04.587350,3.87,4629.6,78.2,44.25,84,297.0,8.0,5.93,0.0,4.17,34.6,1603,34,3.25,74.4,174.8
2025-09-14 20:22:04.587350,5.6,5161.8,72.45,51.0,74,385.0,10.0,5.55,0.0,4.28,36.7,2492,40,2.57,74.3,175.0
2025-09-15 20:22:04.587350,4.51,4611.6,77.05,26.25,74,196.0,14.0,6.7,0.0,3.56,35.6,2302,31,2.33,74.0,175.0
2025-09-16 20:22:04.587350,4.84,4060.2,78.2,25.5,79,282.0,6.0,4.98,2.41,4.27,35.4,1793,50,2.19,75.2,175.2
2025-09-17 20:22:04.587350,3.41,2751.6,77.05,35.25,76,221.0,12.0,3.3,0.0,3.29,39.1,2675,38,2.35,74.3,175.1
2025-09-18 20:22:04.587350,5.7,5036.0,69.0,38.0,92,127.0,0.0,3.1,0.0,3.71,36.7,2294,53,2.31,74.5,174.9
2025-09-19 20:22:04.587350,7.05,8459.0,63.0,63.0,82,395.0,28.0,6.27,0.0,4.88,37.9,1902,26,2.59,74.5,175.2
2025-09-20 20:22:04.587350,7.27,13737.0,62.0,39.0,76,566.0,56.0,9.33,0.0,4.89,37.3,1250,54,2.58,74.6,175.1
2025-09-21 20:22:04.587350,7.19,4522.0,67.0,45.0,89,160.0,0.0,3.23,4.31,4.71,38.1,2687,62,2.5,74.8,175.1
2025-09-22 20:22:04.587350,6.57,9199.0,67.0,49.0,82,399.0,17.0,7.72,9.25,4.02,37.6,1583,20,2.72,74.8,175.0
2025-09-23 20:22:04.587350,6.84,4322.0,68.0,48.0,78,286.0,0.0,2.98,0.0,4.48,35.5,1506,55,3.1,74.3,174.9
2025-09-24 20:22:04.587350,5.25,4838.0,71.0,33.0,93,202.0,0.0,3.96,0.0,4.5,39.0,2306,68,2.97,74.5,175.0
2025-09-25 20:22:04.587350,6.75,9098.0,66.0,50.0,83,376.0,12.0,6.02,3.9,3.92,36.8,2731,31,1.76,74.6,175.1
2025-09-26 20:22:04.587350,6.3,7437.0,67.0,35.0,76,274.0,1.0,5.19,9.51,5.25,35.2,2415,75,1.22,74.4,175.2
2025-09-27 20:22:04.587350,7.96,7430.0,61.0,57.0,75,254.0,29.0,6.09,0.0,4.94,36.9,2169,56,2.97,75.0,175.2
2025-09-28 20:22:04.587350,7.59,7084.0,65.0,53.0,75,324.0,19.0,4.65,0.0,4.39,39.8,2178,39,1.82,74.6,175.0
2025-09-29 20:22:04.587350,4.87,6714.0,68.0,41.0,76,225.0,21.0,5.61,0.0,4.51,38.9,2256,49,2.39,74.7,174.9
2025-09-30 20:22:04.587350,7.39,7025.0,64.0,59.0,83,284.0,17.0,5.27,11.42,4.6,37.1,2227,58,1.91,74.6,175.0
2025-10-01 20:22:04.587350,7.01,7855.0,67.0,35.0,91,290.0,2.0,5.22,0.0,3.48,37.1,2084,51,1.6,74.8,174.8
2025-10-02 20:22:04.587350,5.84,7075.0,63.0,29.0,71,306.0,5.0,5.27,14.44,4.38,37.2,2031,58,2.77,74.5,175.0
2025-10-03 20:22:04.587350,7.67,7614.0,70.0,67.0,87,321.0,17.0,5.82,0.0,4.16,40.8,1981,36,2.88,74.0,175.0
2025-10-04 20:22:04.587350,8.11,13834.0,59.0,61.0,70,605.0,31.0,9.99,0.0,4.0,38.3,1773,52,2.21,74.5,175.0
2025-10-05 20:22:04.587350,8.17,10664.0,59.0,49.0,71,401.0,35.0,6.68,0.0,4.36,38.4,1915,28,1.2,74.2,174.8
2025-10-06 20:22:04.587350,5.79,2690.0,70.0,58.0,82,100.0,0.0,1.52,0.0,5.4,39.3,1492,48,2.23,74.2,175.1
2025-10-07 20:22:04.587350,6.29,7909.0,67.0,48.0,77,267.0,10.0,5.41,0.0,4.82,38.1,1970,36,2.7,74.5,174.9
2025-10-08 20:22:04.587350,7.49,7173.0,66.0,64.0,81,264.0,17.0,4.98,0.0,4.21,37.4,1703,38,1.76,74.7,174.9
2025-10-09 20:22:04.587350,8.06,11168.0,64.0,58.0,74,465.0,35.0,8.13,0.0,4.79,37.5,1668,68,2.59,74.3,174.7
2025-10-10 20:22:04.587350,6.6,7974.4,65.0,66.0,81,371.0,0.0,4.08,4.51,5.2,37.7,2053,66,2.49,74.4,175.0
2025-10-11 20:22:04.587350,6.92,10488.8,62.0,66.0,76,354.2,36.0,4.58,0.0,4.96,37.8,2417,59,2.79,74.8,175.2
2025-10-12 20:22:04.587350,5.69,10290.0,67.0,38.0,80,471.8,0.0,5.34,0.0,4.53,39.0,2275,33,2.56,74.4,175.2
2025-10-13 20:22:04.587350,5.87,11111.8,65.0,50.0,75,539.0,30.0,5.86,8.73,4.18,38.0,1528,45,2.01,75.1,175.0
2025-10-14 20:22:04.587350,7.9,9545.2,66.0,62.0,78,410.2,22.5,5.05,5.19,4.85,39.0,1703,68,3.1,74.5,174.9
2025-10-15 20:22:04.587350,8.14,13111.0,61.0,74.0,79,655.2,27.0,7.1,9.31,4.7,37.8,2282,52,2.42,73.7,175.0
2025-10-16 20:22:04.587350,7.49,9718.8,62.0,39.0,79,333.2,18.0,5.28,0.69,4.95,38.1,1705,84,2.49,74.5,174.9
